Group,Female,Hsgpa,ACT,SAT,Sem1gpa,Alg_A,Alg_DFW,CAT_pre,CAT_post,CAT_delta,ENGR_persist,INST_persist,On_Track_2,On_Track_3,On_Track_4,No_Math_4
Control,0,3.5,25,,2.25,0,1,,,,0,0,0,0,0,1
Control,0,3.27,,,3.2667,1,0,,,,1,1,1,1,1,0
Control,0,3.76,22,,3.8,0,0,,,,0,1,0,0,0,1
Control,0,3.71,22,,3.3333,0,0,,,,1,1,1,1,1,0
Control,0,3.08,22,,1.8,0,0,,,,0,0,1,0,0,1
Control,0,3.95,23,,4,1,0,,,,1,1,1,1,1,0
Control,1,4.15,20,,3.5,1,0,,,,1,1,1,1,1,0
Control,0,3.19,25,,3,0,0,,,,1,1,1,1,1,0
Control,0,3.51,25,,3.4,0,0,,,,0,1,1,1,0,1
Control,0,4.57,20,420,3.4375,0,0,,,,0,1,1,0,0,1
Control,0,3.5,25,,2.7333,0,0,,,,1,1,1,1,0,0
Control,0,3.8,,,3.2857,0,0,,,,0,1,0,0,0,1
Control,1,3.95,22,,3.1429,0,0,,,,1,1,1,1,0,0
Control,0,2.78,,,0.2308,0,1,,,,0,0,0,0,0,1
Control,1,3.05,18,,2.875,0,0,,,,1,1,1,1,0,1
Control,0,3.59,,,2.8667,0,0,,,,0,1,1,0,0,1
Control,0,3.22,23,,2,0,0,,,,0,1,0,0,0,1
Control,0,3.14,,,0.8667,0,1,,,,0,0,0,0,0,1
Control,0,3,,,2.6316,0,0,,,,0,1,0,0,0,1
Control,0,3.37,24,,2,0,1,,,,0,0,1,0,0,1
Control,0,2.79,21,,3.6667,0,0,,,,1,1,1,1,1,0
Control,0,4.19,,,4,1,0,,,,1,1,1,1,1,0
Control,0,4.18,22,480,3.3333,0,0,,,,1,1,1,1,0,0
Control,0,2.57,,,1.9333,0,0,,,,1,1,1,1,0,0
Control,0,2.61,,,1.7857,0,1,,,,0,1,0,0,0,1
Control,0,3.67,25,,2.7143,0,0,,,,0,0,1,0,0,1
Control,0,3.66,23,,3.7692,0,0,,,,1,1,1,1,1,0
Control,0,3.41,,,3.3333,1,0,,,,0,0,1,0,0,1
Control,1,3.11,,,,0,0,,,,1,1,1,1,1,0
Control,1,4.33,22,520,3.9375,1,0,,,,1,1,1,1,1,0
Control,0,3.2,,,1.0909,0,1,,,,0,1,0,0,0,1
Control,0,4,22,,,0,0,,,,0,0,0,0,0,1
Control,0,3.13,23,,2.6667,0,0,,,,0,1,1,0,0,1
Control,1,3.87,25,,,0,1,,,,0,0,0,0,0,1
